Podcast Name,link,Podcast on Apple podcasts,On web,Episode on Apple podcasts,Date span/range,Links,Notes,,
Arcanasphere.com Industrial Rock Audio Podcast,https://archive.org/details/pcs_Arcanasphere.com_Industrial_Rock_Audio_Podcast,NO,NO,NO,2/24/2005,http://www.arcanasphere.com/podcast.php,,,
ArsenalAmerica,https://archive.org/details/pcs_ArsenalAmerica,NO,NO,NO,2006-03-09,http://www.arsenalamerica.com/category/podcast/page/2/,,,
ArthritisCentral News and Views,https://archive.org/details/pcs_ArthritisCentral_News_and_Views,NO,NO,NO,3/16/2005,https://energyconservasion.wordpress.com/,,,
aRTiFisHALL nETWORK,https://archive.org/details/pcs_aRTiFisHALL_nETWORK,NO,NO,NO,no date found,https://www.cnet.com/forums/discussions/how-much-more-biased-can-digg-get-241849/,,,
ARTS - The Artscene Radio Talk Show,https://archive.org/details/pcs_ARTS_-_The_Artscene_Radio_Talk_Show,NO,NO,NO,no date found,,,,
Aruntx Publishing Company Newswire iPodcasting Syndication Netwo,https://archive.org/details/pcs_Aruntx_Publishing_Company_Newswire_iPodcasting_Syndication_Netwo,NO,NO,NO,no date found,,,,
Assassins Show - The Making of Union of Assassins,https://archive.org/details/pcs_Assassins_Show_-_The_Making_of_Union_of_Assassins,NO,NO,NO,no date found,https://energyconservasion.wordpress.com/,,,
atmaspheric radio,https://archive.org/details/pcs_atmaspheric_radio,NO,NO,NO,10/6/2004,,,,
Atomic City Health and Fitness,https://archive.org/details/pcs_Atomic_City_Health_and_Fitness,NO,NO,NO,10/24/2004,http://podca.st/,the first health and fitness podcast,,
Audio Activism,https://archive.org/details/pcs_Audio_Activism,NO,NO,NO,2004-10-10,http://www.audioactivism.org/category/podcast/,http://www.audioactivism.org/about-me/,,
ath-X Podcast,https://archive.org/details/pcs_ath-X_Podcast,NO,NO,NO,no date found,,,,
Audio Obit,https://archive.org/details/pcs_Audio_Obit,NO,NO,NO,no date found,blog of death is written for obituaries.,https://www.seroundtable.com/archives/002114.html,,
Audiobag,https://archive.org/details/pcs_Audiobag,NO,NO,NO,no date found,,,,
Audioblogging 2.0,https://archive.org/details/pcs_Audioblogging_2.0,NO,YES,NO,9/15/2005,Harry Gilchrist,http://radio-weblogs.com/0100368/2005/01/29.html,,
audioblogs.info,https://archive.org/details/pcs_audioblogs.info__information_on_audioblogs,NO,NO,NO,3/30/2005,,,,
Audiocourses.com blog,https://archive.org/details/pcs_Audiocourses.com_Blog,NO,NO,NO,no date found,,,,
Aural Traditions,https://archive.org/details/pcs_Aural_Traditions,NO,NO,NO,2005-03-14,http://auraltraditions.org/category/podcast/,,,
Austin Blogger Podcast,https://archive.org/details/pcs_Austin_Blogger_Podcast,NO,NO,NO,2005-03-29,,,,
Australian craft brewers,https://archive.org/details/pcs_Australian_craft_brewers,NO,NO,NO,8/1/2005,,,,
Auto Audio - Car talk for the new millennium,https://archive.org/details/pcs_Auto_Audio_-_Car_talk_for_the_new_millennium,NO,NO,NO,1/26/2005,https://energyconservasion.wordpress.com/,,,
AudioSavage,https://archive.org/details/pcs_AudioSavage,NO,NO,NO,no date found,,,,
Auxar.com,https://archive.org/details/pcs_Auxar.com,NO,NO,NO,no date found,,,,
Avalanche,https://archive.org/details/pcs_Avalanche,NO,NO,NO,no date found,,,,
Avatar Studios Presents,https://archive.org/details/pcs_Avatar_Studios_Presents,NO,NO,NO,4/4/2005,http://www.avatarpodcast.net/archive.html,,,
AVOLTA Radio,https://archive.org/details/pcs_AVOLTA_Radio,NO,NO,NO,no date found,http://garycorben.com/avolta-radio-brazilian-grooves/,,,
Autodesk Realize Your Ideas Tour,https://archive.org/details/pcs_Autodesk_Realize_Your_Ideas_Tour,NO,NO,NO,2005,https://autodesk.blogs.com/between_the_lines/2005/06/podcast_from_ch.html,,,
AwareTek,https://archive.org/details/pcs_AwareTek,NO,NO,NO,4/15/2005,https://www.learnoutloud.com/Podcast-Directory/Philosophy/-/AwareTek-Podcast/6860,http://www.informit.com/articles/article.aspx?p=486768&seqNum=6,http://www.awaretek.com/,
axecast,https://archive.org/details/pcs_axecast,NO,NO,NO,no date found,https://www.wired.com/2005/08/podcasting-for-the-man/,,,
BASHPODDER,https://archive.org/details/pcs_BASHPODDER,NO,NO,NO,no date found,http://lincgeek.org/bashpodder/,not really a podcast,,
Backbone Campaign Conversations with the Cabinet,https://archive.org/details/pcs_Backbone_Campaign_Conversations_with_the_Cabinet,NO,NO,NO,1/16/2006,https://player.fm/series/backbone-campaign-conversations-with-the-cabinet,,,
BACKUP,https://archive.org/details/pcs_BACKUP,NO,NO,NO,no date found,,,,
bandhole.com podcast,https://archive.org/details/pcs_bandhole.com_Podcast,NO,NO,NO,no date found,,,,
Bandtrax,https://archive.org/details/pcs_Bandtrax,NO,NO,NO,2/18/2005,https://www.boiseweekly.com/boise/podcasting-for-the-plebian/Content?oid=921326,http://schoolofpodcasting.com/tag/bandtrax/,https://bandtraxbavaria.podspot.de/,
Barefoot Radio,https://archive.org/details/pcs_Barefoot_Radio,NO,NO,NO,no date found,,,,
RasterWeb! Audio,https://archive.org/details/pcs_RasterWeb_Audio,NO,YES,NO,12/18/2004,http://rasterweb.net/raster/feeds/rwaudio.rss,,,
RAXHaven Radio - Hot Laps to Hairpins,https://archive.org/details/pcs_RAXHaven_Radio_-_Hot_Laps_to_Hairpins,NO,NO,NO,10/13/2004,,,,
Rock and Roll Geek,https://archive.org/details/pcs_Rock_and_Roll_Geek,NO,NO,NO,10/12/2004,,,,
Where We Are Bound Podcast,https://archive.org/details/pcs_Where_We_Are_Bound_Podcast,NO,NO,NO,no date found,,,,
My Own Private Audio,https://archive.org/details/pcs_My_Own_Private_Audio,NO,No,No,,,,,
Joseph Palmer,https://archive.org/details/pcs_Joseph_Palmer,NO,YES,NO,8/12/2016,,,,
Yankidank Technology,https://archive.org/details/pcs_Yankidank_Technology,NO,YES,NO,2005,https://www.geeklog.net/forum/viewtopic.php?showtopic=45718&lastpost=true,,,
The VideoStore Cowboy,https://archive.org/details/pcs_The_VideoStore_Cowboy,NO,NO,No,2005,,,,
Insane Films,https://archive.org/details/pcs_Insane_Films,NO,Yes,No,2006??????,https://radiopublic.com/insane-films-podcast-feed-60mnR7,On Radiopublic but NOT on Apple podcasts,,
Mohawk Language,https://archive.org/details/pcs_Mohawk_Language,NO,NO,NO,,,,,
Masterpiece Robot,,NO,NO,NO,no date found,None,,,
The Mouse Pod,,NO,,,2005?,,,,
Al Franken Podcast,SAME AS ABOVE,SAME AS ABOVE,SAME AS ABOVE,SAME AS ABOVE,SAME AS ABOVE,https://www.learnoutloud.com/Podcast-Directory/Politics/Contemporary-Issues/The-Al-Franken-Show-Podcast/4976,,,
Off the Hook (2600 The Hacker Quarterly),https://archive.org/details/pcs_2600_The_Hacker_Quarterly,YES,NO,NO,1/5/2005,https://www.2600.com/news/view/archive/0-2005,,,
Off the Wall (2600 The Hacker Quarterly),https://archive.org/details/pcs_2600_The_Hacker_Quarterly,YES,NO,NO,1/11/2005,https://www.2600.com/news/view/archive/0-2006,,,
Benjamin Walker's Theory of Everything,https://archive.org/details/pcs_Benjamen_Walkers_Theory_Of_Everything,YES,YES,YES,6/26/XXXX,http://theoryofeverythingpodcast.com/about/,,,
Beyondjazz radioshow podcast,https://archive.org/details/pcs_beyondjazznet_Radio_archives,YES,NO,NO,2/1/2005,http://beyondjazz.net/podcasts/2009/10/350-party-like-its-2003,,,
Career Opportunities The High-Tech Career Handbook,https://archive.org/details/pcs_Career_Opportunities_The_High-Tech_Career_Handbook,YES,NO,NO,no date found,http://welchwrite.com/career/,,,
Coverville,https://archive.org/details/pcs_Coverville,YES,NO,NO,12/23/2004,http://coverville.com/,,,
emayhem cast,https://archive.org/details/pcs_emayhem_cast,YES,YES,YES,10/15/2004,http://emayhem.libsyn.com/,http://emayhem.libsyn.com/first-e-mayhem-pod-cast,,
Geek News Central,https://archive.org/details/pcs_Geek_News_Central,YES,NO,NO,10/12/2004,https://geeknewscentral.com/2012/10/07/the-gnc-podcast-story-started-in-october-2004/,,,
A Brit Abroad,https://archive.org/details/pcs_A_Brit_Abroad,YES,YES,YES,12/21/2004,https://itunes.apple.com/gb/podcast/a-brit-abroad/id73331189?mt=2,NOT LOADING,,
AirFerg,https://archive.org/details/pcs_AirFerg,YES,YES,NO,6/5/2005,http://www.joelradio.net/tag/air-ferg/,,,
RadioZoom,https://archive.org/details/pcs_RadioZoom,YES,YES,NO,10/9/2004,https://radiozoom.net/2004/10/,,,
thecommute.org,https://archive.org/details/pcs_TheCommute.org,YES,YES,,2005,,,,
The Morning wood,https://archive.org/details/pcs_The_Morning_Wood,yes,yes,yes,3/11/2019,,,,
Boardgames to Go ,https://archive.org/details/pcs_Boardgames_To_Go,yes,yes,yes,2005-2019,https://boardgamegeek.com/boardgamepodcast/7176/boardgames-go,,,
Better Bad News,https://archive.org/details/pcs_Better_Bad_News,,,,,,,,
Imagine Wealth Podcast: The Secret of Abundance,,,,,,,,,
Black Coffee Radio,https://archive.org/details/pcs_black_coffee_radio,Maybe?,Maybe?,Maybe?,2005-2006,https://blackcoffeeradio.blogspot.com/,I think there is a more recent podcast called Black Coffee Radio that originates in the Houston area.,,
